jaspar_id,jaspar_name,correlation
MA1108.3,MXI1,0.1830937119093555
MA0107.1,RELA,0.1827131243061766
MA1561.2,SOX12,0.18074567292650684
MA0607.2,BHLHA15,0.17979790880426658
MA1101.3,BACH2,0.17979289173871374
MA1538.1,NR2F1,0.1795207150116519
MA1570.1,TFAP4,0.17805456861839492
MA0651.3,HOXC11,0.17735475173876378
MA0698.2,ZBTB18,0.17375804708953704
MA1619.2,Ptf1A,0.17367161858007715
MA1539.1,NR2F6,0.1717394352973471
MA0907.2,HOXC13,0.17071942355954803
MA0691.1,TFAP4,0.16942030710380848
MA1552.2,RARB,0.16652856854906206
MA0478.2,FOSL2,0.1646697564563954
MA0869.3,Sox11,0.1628344710932914
MA1470.2,BACH2,0.1612479393497658
MA2101.1,ZNF677,0.16107850716393812
MA1472.3,Bhlha15,0.15869728294742036
MA0442.3,SOX10,0.15795833922748592
MA1608.2,Isl1,0.15750160340466204
MA0077.2,SOX9,0.1568197676799088
MA1420.1,IRF5,0.15658881034407088
MA0113.4,NR3C1,0.15569889825657313
MA1641.2,MYF5,0.15424885056619225
MA0727.2,NR3C2,0.15200810406028095
MA1530.2,NKX6-3,0.15171806624771333
MA1997.2,Olig2,0.14807264095003064
MA1638.2,HAND2,0.14788533503666176
MA1603.2,Dmrt1,0.14641274674007537
MA2327.1,PGR,0.1462309045306047
MA0633.3,Twist2,0.14520366307923852
MA0521.3,Tcf12,0.14515455461045576
MA1993.2,Neurod2,0.145024846439689
MA0838.1,CEBPG,0.14395910210103757
MA0832.2,Tcf21,0.14319529579304816
MA1635.2,BHLHE22,0.142903267340483
MA1124.1,ZNF24,0.14266704764084362
MA1468.1,ATOH7,0.14234386722988632
MA1153.2,Smad4,0.14209823386858966
MA0488.2,JUN,0.13899384749380947
MA1554.2,RFX7,0.13874728893531377
MA0667.1,MYF6,0.13858364481903065
MA1580.1,ZBTB32,0.13810641466405935
MA2324.1,BCL11A,0.13634601105261815
MA0771.1,HSF4,0.13441597952954484
MA0870.1,Sox1,0.13306394903854257
MA0609.3,CREM,0.13156044276445358
MA1623.2,Stat2,0.1293561948764155
MA1475.2,CREB3L4,0.12923840897848313
MA0770.1,HSF2,0.12484407221968105
MA1709.2,ZIM3,0.1222823611098188
MA0484.3,HNF4G,0.12055293386900899
MA0652.2,IRF8,0.11963173325235536
MA2334.1,ZNF547,0.1195152266030695
MA0818.2,BHLHE22,0.11943295987645955
MA1995.2,Npas4,0.11930379178000657
MA0604.1,Atf1,0.11882307604396888
MA0117.3,Mafb,0.11780495437076338
MA0492.2,JUND,0.11778225645789216
MA0114.5,HNF4A,0.11718693327028551
MA0678.1,OLIG2,0.115500491778928
MA0029.2,Mecom,0.1133436229758229
MA0656.2,JDP2,0.11292968016378177
MA0050.4,Irf1,0.11287770842989087
MA1140.3,JUNB,0.1122985664241539
MA1525.3,NFATC4,0.11227196480535392
MA0676.1,Nr2e1,0.11176621835153397
MA0466.4,CEBPB,0.11136342696813184
MA1126.2,FOS::JUN,0.11085468580711177
MA1553.2,RARG,0.11074696058799206
MA0653.1,IRF9,0.11009289430538463
MA0495.4,MAFF,0.11005463314759004
MA2323.1,Pgr,0.10967908403095404
MA0605.3,ATF3,0.1087807074894792
MA0827.1,OLIG3,0.10789820149213596
MA0837.3,CEBPE,0.10735635992927844
MA1147.2,NR4A2::RXRA,0.10734091877020198
MA1116.2,RBPJ,0.10714303342941799
MA0842.3,NRL,0.1058980156514258
MA1962.1,POU2F1::SOX2,0.10501621034902756
MA0479.2,FOXH1,0.10215419364773407
MA1419.2,IRF4,0.10150392987170102
MA1111.2,NR2F2,0.10111173275786263
MA0486.2,HSF1,0.10071506266147558
MA0100.4,MYB,0.09908894963704291
MA1549.2,POU6F1,0.09832489487386399
MA1133.2,JUN::JUNB,0.09718086543438285
MA1146.2,NR1H4::RXRA,0.09713724596725079
MA1152.2,SOX15,0.09560531826041514
MA1951.2,FOS,0.0948412564243125
MA2338.1,Ppara,0.0945819171586722
MA1145.2,FOSL2::JUND,0.09441324015857519
MA0724.1,VENTX,0.09308379744823014
MA1509.1,IRF6,0.09148458154364947
MA0840.2,Creb5,0.08844933670912584
